68134, 152, 'КВ.', 'ЧЕЛОПЕЧЕНЕ', 'кв. ЧЕЛОПЕЧЕНЕ', 'KV.', 'CHELOPECHENE', 'kv. CHELOPECHENE'
68134, 153, 'ЖК', 'КРАСНА ПОЛЯНА 1', 'жк КРАСНА ПОЛЯНА 1', 'ZHK', 'KRASNA POLYANA 1', 'zhk KRASNA POLYANA 1'
68134, 154, 'ЖК', 'БОКАР', 'жк БОКАР', 'ZHK', 'BOKAR', 'zhk BOKAR'
68134, 155, 'ЖК', 'ХРИСТО СМИРНЕНСКИ', 'жк ХРИСТО СМИРНЕНСКИ', 'ZHK', 'HRISTO SMIRNENSKI', 'zhk HRISTO SMIRNENSKI'
68134, 157, 'ЖК', 'КАНАЛА', 'жк КАНАЛА', 'ZHK', 'KANALA', 'zhk KANALA'
68134, 159, '', 'ТРЪНСКА МАХАЛА', ' ТРЪНСКА МАХАЛА', '', 'TRANSKA MAHALA', ' TRANSKA MAHALA'
68134, 160, 'М.', 'СМЪРДАНА', 'м. СМЪРДАНА', 'M.', 'SMARDANA', 'm. SMARDANA'
68134, 161, 'КВ.', 'ДРУЖБА', 'кв. ДРУЖБА', 'KV.', 'DRUZHBA', 'kv. DRUZHBA'
68134, 162, '', 'АЕРОГАРА СОФИЯ', ' АЕРОГАРА СОФИЯ', '', 'AEROGARA SOFIA', ' AEROGARA SOFIA'
68134, 163, 'П.З.', 'ОРИОН', 'п.з. ОРИОН', 'P.Z.', 'ORION', 'p.z. ORION'
68134, 164, 'КВ.', 'КАРПУЗИЦА', 'кв. КАРПУЗИЦА', 'KV.', 'KARPUZITSA', 'kv. KARPUZITSA'
68134, 165, '', 'ТЕЦ СОФИЯ', ' ТЕЦ СОФИЯ', '', 'TETS SOFIA', ' TETS SOFIA'
68134, 168, 'М.', 'ВАЛОГО', 'м. ВАЛОГО', 'M.', 'VALOGO', 'm. VALOGO'
68134, 169, 'ЖК', 'ДРУЖБА', 'жк ДРУЖБА', 'ZHK', 'DRUZHBA', 'zhk DRUZHBA'
68134, 170, 'ЖК', 'ЛЮЛИН', 'жк ЛЮЛИН', 'ZHK', 'LYULIN', 'zhk LYULIN'
68134, 171, 'ЖК', 'НАДЕЖДА', 'жк НАДЕЖДА', 'ZHK', 'NADEZHDA', 'zhk NADEZHDA'
68134, 172, 'ЖК', 'ОВЧА КУПЕЛ', 'жк ОВЧА КУПЕЛ', 'ZHK', 'OVCHA KUPEL', 'zhk OVCHA KUPEL'
68134, 173, 'М.', 'ГЪРДОВА ГЛАВА', 'м. ГЪРДОВА ГЛАВА', 'M.', 'GARDOVA GLAVA', 'm. GARDOVA GLAVA'
68134, 174, 'КВ.', 'РЕПУБЛИКА 2', 'кв. РЕПУБЛИКА 2', 'KV.', 'REPUBLIKA 2', 'kv. REPUBLIKA 2'
68134, 175, 'ЖК', 'КРЕМИКОВЦИ', 'жк КРЕМИКОВЦИ', 'ZHK', 'KREMIKOVTSI', 'zhk KREMIKOVTSI'
68134, 176, 'ЖК', 'БОТУНЕЦ 1', 'жк БОТУНЕЦ 1', 'ZHK', 'BOTUNETS 1', 'zhk BOTUNETS 1'
68134, 177, 'ЖК', 'БОТУНЕЦ 2', 'жк БОТУНЕЦ 2', 'ZHK', 'BOTUNETS 2', 'zhk BOTUNETS 2'
68134, 179, 'ЖК', 'ВОЕННИ ОБЩЕЖИТИЯ', 'жк ВОЕННИ ОБЩЕЖИТИЯ', 'ZHK', 'VOENNI OBSHTEZHITIA', 'zhk VOENNI OBSHTEZHITIA'
68134, 180, 'М.', 'ВРАНЯ', 'м. ВРАНЯ', 'M.', 'VRANYA', 'm. VRANYA'
68134, 181, 'М.', 'ГОЛЯМА МОГИЛА', 'м. ГОЛЯМА МОГИЛА', 'M.', 'GOLYAMA MOGILA', 'm. GOLYAMA MOGILA'
68134, 182, 'М.', 'ЕГРЕЦИТЕ', 'м. ЕГРЕЦИТЕ', 'M.', 'EGRETSITE', 'm. EGRETSITE'
68134, 183, 'В.З.', 'ЛЮЛИН', 'в.з. ЛЮЛИН', 'V.Z.', 'LYULIN', 'v.z. LYULIN'
68134, 184, 'ЖК', 'ЛЮЛИН-БУНГАЛА', 'жк ЛЮЛИН-БУНГАЛА', 'ZHK', 'LYULIN-BUNGALA', 'zhk LYULIN-BUNGALA'
68134, 185, 'М.', 'ДОЛНИ СМЪРДАН', 'м. ДОЛНИ СМЪРДАН', 'M.', 'DOLNI SMARDAN', 'm. DOLNI SMARDAN'
68134, 186, 'КВ.', 'ВАСИЛ ПОПОВ', 'кв. ВАСИЛ ПОПОВ', 'KV.', 'VASIL POPOV', 'kv. VASIL POPOV'
68134, 187, 'М.', 'ГОРСКИ РАЗСАДНИК', 'м. ГОРСКИ РАЗСАДНИК', 'M.', 'GORSKI RAZSADNIK', 'm. GORSKI RAZSADNIK'
68134, 188, 'КВ.', 'РАЙОНА НА ТКЗС', 'кв. РАЙОНА НА ТКЗС', 'KV.', 'RAYONA NA TKZS', 'kv. RAYONA NA TKZS'
68134, 189, 'КВ.', 'БУКАТА', 'кв. БУКАТА', 'KV.', 'BUKATA', 'kv. BUKATA'
68134, 190, 'М.', 'ВОДЕНИЦАТА', 'м. ВОДЕНИЦАТА', 'M.', 'VODENITSATA', 'm. VODENITSATA'
68134, 191, 'М.', 'РАВНИЩЕ', 'м. РАВНИЩЕ', 'M.', 'RAVNISHTE', 'm. RAVNISHTE'
68134, 192, 'М.', 'СЕКУЛИЦА', 'м. СЕКУЛИЦА', 'M.', 'SEKULITSA', 'm. SEKULITSA'
68134, 193, 'В.З.', 'АМЕРИКАНСКИ КОЛЕЖ', 'в.з. АМЕРИКАНСКИ КОЛЕЖ', 'V.Z.', 'AMERIKANSKI KOLEZH', 'v.z. AMERIKANSKI KOLEZH'
68134, 194, 'М.', 'ДРЕНОВЕЦ', 'м. ДРЕНОВЕЦ', 'M.', 'DRENOVETS', 'm. DRENOVETS'
